Summary,,,,,,,,,,,,,,,,,,,
PartnerId,PartnerName,PartnerBillableAccountId,CustomerCompanyName,InvoiceNumber,ChargeStartDate,ChargeEndDate,ServiceName,ServiceType,Region,Sku,DetailLineItemId,ConsumedQuantity,IncludedQuantity,OverageQuantity,ListPrice,Currency,ChargeType,BillingCycleType,Unit
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Virtual Network,IP Addresses,,SFDC-00001,1,359.4,0,359.4,0.0034,USD,Assess usage fee when cancel,Monthly,1 Hour
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Backup,,,SFDC-00002,1,7.51612853,0,7.51612853,8.5,USD,Assess usage fee when cancel,Monthly,1/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,General Block Blob,,SFDC-00003,1,2.443,0,2.443,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,General Block Blob,,SFDC-00004,1,531.7124,0,531.7124,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,General Block Blob,,SFDC-00005,1,16.1,0,16.1,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,General Block Blob,,SFDC-00006,1,27.7248,0,27.7248,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Tables,,SFDC-00007,1,67.1626,0,67.1626,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00008,1,518.2308,0,518.2308,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00009,1,328.8916,0,328.8916,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Backup,,,SFDC-00010,1,7524.48346,0,7524.48346,0.0381,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Bandwidth,,Zone 1,SFDC-00011,1,187.22173,5,182.22173,0.074,USD,Assess usage fee when cancel,Monthly,1 GB
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Virtual Network,IP Addresses,,SFDC-00012,1,484.4,0,484.4,0.0031,USD,Assess usage fee when cancel,Monthly,1 Hour
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00013,1,421.5251,0,421.5251,0.0638,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,General Block Blob,,SFDC-00014,1,12.78066,0,12.78066,0.0204,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00015,1,7.63065,0,7.63065,0.0383,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Files,,SFDC-00016,1,1.223592,0,1.223592,0.051,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Premium Page Blob,US East 2,SFDC-00017,1,0.737856,0,0.737856,15.232,USD,Assess usage fee when cancel,Monthly,1/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Premium Page Blob,US East 2,SFDC-00018,1,4.919223,0,4.919223,56.576,USD,Assess usage fee when cancel,Monthly,1/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Premium Page Blob,US East 2,SFDC-00019,1,56.402979,0,56.402979,0.102,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Premium Page Blob,US East 2,SFDC-00020,1,2.213751,0,2.213751,104.448,USD,Assess usage fee when cancel,Monthly,1/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,VPN Gateway,Standard Gateway,,SFDC-00021,1,182.75,0,182.75,0.1615,USD,Assess usage fee when cancel,Monthly,1 Hour
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Virtual Machines,A Series Basic,US East 2,SFDC-00022,1,183,0,183,0.1496,USD,Assess usage fee when cancel,Monthly,1 Hour
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Virtual Machines,Dv2/DSv2 Series,US East 2,SFDC-00023,1,183,0,183,0.2542,USD,Assess usage fee when cancel,Monthly,1 Hour
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Virtual Machines,Dv2/DSv2 Series Windows,US East 2,SFDC-00024,1,365.983353,0,365.983353,0.4131,USD,Assess usage fee when cancel,Monthly,1 Hour
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00025,1,91.9309,0,91.9309,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Tables,,SFDC-00026,1,21.1697,0,21.1697,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,General Block Blob,,SFDC-00027,1,14.3879,0,14.3879,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Tables,,SFDC-00028,1,1046.68468,0,1046.68468,0.0383,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Tables,,SFDC-00029,1,365.037399,0,365.037399,0.0638,USD,Assess usage fee when cancel,Monthly,1 GB/Month
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00030,1,3057.2219,0,3057.2219,0.0003,USD,Assess usage fee when cancel,Monthly,10K
F79999999999,Universal Containers,9999999999,Salesforce.com,INV9999999999,05/05/2020,13/05/2020,Storage,Standard Page Blob,,SFDC-00031,1,37.7618,0,37.7618,0.0003,USD,Assess usage fee when cancel,Monthly,10K
